gene	linb	nSNP
ENSG00000181404_WASHC1	0.8467758945847043	11
ENSG00000170122_FOXD4	0.794321711607625	7
ENSG00000172785_CBWD1	0.5681912029432713	21
ENSG00000183784_C9orf66	0.8078672870603896	3
ENSG00000107099_DOCK8	0.6903066687346788	18
ENSG00000107104_KANK1	0.29360676264725816	23
ENSG00000064218_DMRT3	0.654270578164683	7
ENSG00000173253_DMRT2	0.15208803088830147	7
ENSG00000080503_SMARCA2	0.7979452031640346	13
ENSG00000147852_VLDLR	0.09866394125228273	12
ENSG00000168263_KCNV2	0.2535217915279987	10
ENSG00000080608_PUM3	0.7846511822511597	8
ENSG00000080298_RFX3	0.9467857539564934	6
ENSG00000107249_GLIS3	0.6836954664965423	7
ENSG00000106688_SLC1A1	0.974745127805554	5
ENSG00000106686_SPATA6L	0.5825443164048023	15
ENSG00000205808_PLPP6	0.6731494615547882	3
ENSG00000106993_CDC37L1	0.2888749221394733	5
ENSG00000147853_AK3	0.7510920861664055	5
ENSG00000120158_RCL1	0.7936143362482593	3
ENSG00000096968_JAK2	0.75039189317494	12
ENSG00000120210_INSL6	0.448531787918501	11
ENSG00000120211_INSL4	0.3286765548101095	1
ENSG00000107014_RLN2	0.13883000272586	9
ENSG00000107018_RLN1	0.0844049955797661	10
ENSG00000107020_PLGRKT	0.8699410435523551	6
ENSG00000120217_CD274	0.8534480239507454	1
ENSG00000197646_PDCD1LG2	0.27990998594701777	6
ENSG00000107036_RIC1	0.5506024412658663	10
ENSG00000099219_ERMP1	0.8135278727829762	11
ENSG00000183354_KIAA2026	0.3902095077342427	10
ENSG00000120215_MLANA	0.9575029310743511	2
ENSG00000137040_RANBP6	0.699610374187603	8
ENSG00000137033_IL33	0.5274509668355509	5
ENSG00000170777_TPD52L3	0.9776036890589561	2
ENSG00000147854_UHRF2	0.9344362126967323	3
ENSG00000178445_GLDC	0.37603337308424745	23
ENSG00000107077_KDM4C	0.06467129787879244	14
ENSG00000137038_DMAC1	0.1580819273076517	3
ENSG00000153707_PTPRD	0.7471739450152682	7
ENSG00000107165_TYRP1	0.4467454538598763	10
ENSG00000107186_MPDZ	0.06571428533415324	49
ENSG00000147862_NFIB	0.42437822039433715	5
ENSG00000175893_ZDHHC21	0.6435590374512258	3
ENSG00000147869_CER1	0.7671586371981289	5
ENSG00000164946_FREM1	0.7907945015827174	31
ENSG00000155158_TTC39B	0.08575303788991873	25
ENSG00000164975_SNAPC3	0.7861579825314469	9
ENSG00000164985_PSIP1	0.5721770416294866	3
ENSG00000164989_CCDC171	0.47336654322014404	21
ENSG00000205549_C9orf92	0.27224964268839524	3
ENSG00000173068_BNC2	0.5150228881279075	1
ENSG00000044459_CNTLN	0.1711882370522242	38
ENSG00000178031_ADAMTSL1	0.8270076314889505	22
ENSG00000155875_SAXO1	0.2870812510560985	13
ENSG00000155876_RRAGA	0.08344481504720624	2
ENSG00000147874_HAUS6	0.4596434880094492	11
ENSG00000147872_PLIN2	0.8926783976142723	6
ENSG00000137145_DENND4C	0.20635362349833386	12
ENSG00000137154_RPS6	0.24119476100445025	1
ENSG00000177076_ACER2	0.7362566617413415	4
ENSG00000155886_SLC24A2	0.6950027589904	5
ENSG00000171843_MLLT3	0.0844756563417649	1
ENSG00000188352_FOCAD	0.8663271743103838	31
ENSG00000188921_HACD4	0.2807167337711267	5
ENSG00000171855_IFNB1	0.7056877716284762	1
ENSG00000177047_IFNW1	0.43270042139741005	1
ENSG00000137080_IFNA21	0.8361451191445919	6
ENSG00000236637_IFNA4	0.9456467659710741	5
ENSG00000214042_IFNA7	0.6244563152355151	5
ENSG00000186803_IFNA10	0.26938969848155037	6
ENSG00000147885_IFNA16	0.504710239877382	4
ENSG00000234829_IFNA17	0.08268067175937222	3
ENSG00000228083_IFNA14	0.6976255679530874	3
ENSG00000147873_IFNA5	0.2815537635671739	3
ENSG00000198642_KLHL9	0.4520206500496611	2
ENSG00000120235_IFNA6	0.9110197946110463	4
ENSG00000233816_IFNA13	0.18346632999287138	3
ENSG00000120242_IFNA8	0.6207717336877938	1
ENSG00000197919_IFNA1	0.5447728991793077	1
ENSG00000184995_IFNE	0.6132379401105287	1
ENSG00000099810_MTAP	0.203130193416868	6
ENSG00000264545_AL359922.1	0.6035535834908797	4
ENSG00000147889_CDKN2A	0.09712786565598575	9
ENSG00000147883_CDKN2B	0.3095185197781667	4
ENSG00000176399_DMRTA1	0.3065839462970126	7
ENSG00000107105_ELAVL2	0.7468822983053418	1
ENSG00000205442_IZUMO3	0.13673619386104752	11
ENSG00000198680_TUSC1	0.541995340511662	3
ENSG00000120159_CAAP1	0.10089310849136679	5
ENSG00000137055_PLAA	0.8264221229787294	8
ENSG00000096872_IFT74	0.48686005813615973	21
ENSG00000184434_LRRC19	0.30640661894307863	3
ENSG00000120156_TEK	0.5623387700468832	8
ENSG00000120160_EQTN	0.8934812799373432	6
ENSG00000120162_MOB3B	0.008502673694558593	2
ENSG00000147896_IFNK	0.5064359318353082	9
ENSG00000147894_C9orf72	0.8041860081066288	6
ENSG00000174482_LINGO2	0.7253501859893987	2
ENSG00000122729_ACO1	0.4331401520715157	17
ENSG00000107201_DDX58	0.7313919535017642	17
ENSG00000197579_TOPORS	0.49586649953844053	1
ENSG00000235453_SMIM27	0.22381837786423664	1
ENSG00000165264_NDUFB6	0.9706588084972045	5
ENSG00000122728_TAF1L	0.34636736168471505	4
ENSG00000188133_TMEM215	0.7987037003706002	2
ENSG00000137074_APTX	0.4955352137921023	13
ENSG00000086061_DNAJA1	0.8639322783384575	2
ENSG00000122711_SPINK4	0.18788754171264466	4
ENSG00000107262_BAG1	0.7714576256993334	10
ENSG00000086102_NFX1	0.09050491585664289	8
ENSG00000165269_AQP7	0.33246367169942714	10
ENSG00000165272_AQP3	0.7516647175738439	4
ENSG00000165271_NOL6	0.9700144348337582	5
ENSG00000230453_ANKRD18B	0.4271457036799037	25
ENSG00000010438_PRSS3	0.0664655693092937	9
ENSG00000137073_UBAP2	0.40373942434767995	15
ENSG00000198876_DCAF12	0.16921221110226203	2
ENSG00000165006_UBAP1	0.9325122238567091	2
ENSG00000186638_KIF24	0.19770026876235414	16
ENSG00000164978_NUDT2	0.12068720256690635	2
ENSG00000164976_MYORG	0.23151952833416467	5
ENSG00000164972_C9orf24	0.47652486483341283	5
ENSG00000164970_FAM219A	0.3490411873923618	3
ENSG00000122735_DNAI1	0.8924372651579425	7
ENSG00000122756_CNTFR	0.23294515323819576	3
ENSG00000164967_RPP25L	0.02543898903259556	2
ENSG00000137100_DCTN3	0.17556055820803484	5
ENSG00000205143_ARID3C	0.9294598054281334	9
ENSG00000147955_SIGMAR1	0.29221366644583413	1
ENSG00000213930_GALT	0.47201898757811434	3
ENSG00000258728_AL162231.3	0.33528113532384096	5
ENSG00000137070_IL11RA	0.4103446485566793	18
ENSG00000213927_CCL27	0.42585685819604113	4
ENSG00000172724_CCL19	0.9552576326321358	2
ENSG00000137077_CCL21	0.04209195918774067	2
ENSG00000205108_FAM205A	0.5138909200537305	8
ENSG00000122733_PHF24	0.40197763613555104	4
ENSG00000137094_DNAJB5	0.014097522124559947	1
ENSG00000174038_C9orf131	0.6559383494616904	17
ENSG00000165280_VCP	0.8511086808555983	3
ENSG00000221829_FANCG	0.27201783857328155	11
ENSG00000165282_PIGO	0.8596357886462213	10
ENSG00000165283_STOML2	0.004239883148317247	2
ENSG00000005238_FAM214B	0.07150480087359301	3
ENSG00000198722_UNC13B	0.24012945694106147	35
ENSG00000198853_RUSC2	0.9729009367420633	4
ENSG00000215187_FAM166B	0.1297155039352833	7
ENSG00000107140_TESK1	0.4174218380057909	2
ENSG00000137101_CD72	0.16636692580536638	3
ENSG00000159884_CCDC107	0.41866897505479617	3
ENSG00000137135_ARHGEF39	0.7857402561937246	9
ENSG00000107159_CA9	0.46303667151395334	6
ENSG00000198467_TPM2	0.18816689996434266	8
ENSG00000137076_TLN1	0.5600405940524378	4
ENSG00000107175_CREB3	0.07398427212772929	4
ENSG00000070610_GBA2	0.7441153874864939	13
ENSG00000107185_RGP1	0.5787723020751925	4
ENSG00000215183_MSMP	0.7159214260842065	2
ENSG00000159899_NPR2	0.13401752489577612	4
ENSG00000137098_SPAG8	0.12933739260350352	8
ENSG00000137133_HINT2	0.8544471514921863	6
ENSG00000285645_AL133410.3	0.9638070429471144	8
ENSG00000137103_TMEM8B	0.27676857281927947	4
ENSG00000204930_FAM221B	0.9021711454256625	12
ENSG00000196196_HRCT1	0.7643087862173671	1
ENSG00000278889_OR2S2	0.019093699168044043	4
ENSG00000122707_RECK	0.14662654128962194	10
ENSG00000122694_GLIPR2	0.6196334102693738	5
ENSG00000185972_CCIN	0.30913957865998154	1
ENSG00000122705_CLTA	0.5579987127003947	1
ENSG00000159921_GNE	0.7802259084913553	8
ENSG00000137075_RNF38	0.17495492418068825	2
ENSG00000165304_MELK	0.799260256915052	11
ENSG00000196092_PAX5	0.25361800129244727	3
ENSG00000147905_ZCCHC7	0.7579018243589255	7
ENSG00000137106_GRHPR	0.4520629428527211	9
ENSG00000137054_POLR1E	0.7770168389464844	12
ENSG00000147912_FBXO10	0.8609437898187157	5
ENSG00000256966_AL513165.2	0.5101621572730626	1
ENSG00000175768_TOMM5	0.26081230320678794	1
ENSG00000255872_AL138752.2	0.7335983408982822	2
ENSG00000070601_FRMPD1	0.20070881908448435	13
ENSG00000165275_TRMT10B	0.36607503225419724	10
ENSG00000107371_EXOSC3	0.772353920282147	7
ENSG00000122741_DCAF10	0.8460952901327778	3
ENSG00000122696_SLC25A51	0.5817865826544096	3
ENSG00000107338_SHB	0.7335983408982822	2
ENSG00000137124_ALDH1B1	0.7685382723103581	2
ENSG00000137142_IGFBPL1	0.06253255051818485	3
ENSG00000283486_FAM95C	0.20704902284389348	5
ENSG00000180071_ANKRD18A	0.6101397473855122	12
ENSG00000106714_CNTNAP3	0.5805315383076477	20
ENSG00000204849_SPATA31A1	0.350900626052675	20
ENSG00000183148_ANKRD20A2	0.16199721981296067	8
