gene	linb	nSNP
ENSG00000141934_PLPP2	0.25645069624510497	5
ENSG00000105556_MIER2	0.4721120127439139	7
ENSG00000105549_THEG	0.133749208182947	11
ENSG00000183186_C2CD4C	0.30662177439007965	2
ENSG00000129946_SHC2	0.35274206596567204	14
ENSG00000181781_ODF3L2	0.10666416160607195	4
ENSG00000099866_MADCAM1	0.6802618473539115	5
ENSG00000141933_TPGS1	0.5443387496551878	3
ENSG00000099804_CDC34	0.2941304508799919	6
ENSG00000197540_GZMM	0.34691939662077953	10
ENSG00000172270_BSG	0.6491283635146381	6
ENSG00000099822_HCN2	0.36994291879325436	7
ENSG00000099821_POLRMT	0.15356795139737967	27
ENSG00000070388_FGF22	0.35459055494648684	7
ENSG00000070423_AC004156.1	0.8699962754669333	5
ENSG00000070404_FSTL3	0.21646687176576695	5
ENSG00000185198_PRSS57	0.22498160631592923	9
ENSG00000099864_PALM	0.9697311549001881	2
ENSG00000099812_MISP	2.0	7
ENSG00000129951_PLPPR3	0.6144955791835678	6
ENSG00000172232_AZU1	0.3523484065310958	7
ENSG00000196415_PRTN3	0.5888140828116445	5
ENSG00000197561_ELANE	0.5821501686927737	3
ENSG00000197766_CFD	0.9267212825566045	9
ENSG00000175221_MED16	0.9735883314574547	30
ENSG00000198858_R3HDM4	0.35740648845091405	9
ENSG00000116014_KISS1R	0.0439449467377554	6
ENSG00000116017_ARID3A	0.8412718510967117	2
ENSG00000065268_WDR18	0.5509641819135735	4
ENSG00000116032_GRIN3B	0.2666847224040647	22
ENSG00000182087_TMEM259	0.6624196318284317	2
ENSG00000064666_CNN2	0.25913163408164264	6
ENSG00000064687_ABCA7	0.10536334367089217	49
ENSG00000180448_AC004151.1	0.8295812879378198	13
ENSG00000099817_POLR2E	0.03752158276679718	13
ENSG00000167468_GPX4	0.2666830994487811	17
ENSG00000064932_SBNO2	0.39770992016126416	11
ENSG00000118046_STK11	0.7726763206691132	2
ENSG00000099625_CBARP	0.556580497487193	6
ENSG00000099624_ATP5F1D	0.7349451906478166	4
ENSG00000167470_MIDN	0.2052422345305256	2
ENSG00000099622_CIRBP	0.05530820559834548	7
ENSG00000228300_C19orf24	0.8575281102349313	6
ENSG00000099617_EFNA2	0.08586949828390023	2
ENSG00000160953_PWWP3A	0.3208833597894576	12
ENSG00000115286_NDUFS7	0.6008576698692436	8
ENSG00000130005_GAMT	0.8735629705503372	6
ENSG00000071626_DAZAP1	0.5155798544703691	1
ENSG00000115268_RPS15	0.014828315721944874	3
ENSG00000115266_APC2	0.9071081824201148	9
ENSG00000119559_C19orf25	0.2315821497811994	7
ENSG00000115257_PCSK4	0.9320722456343421	24
ENSG00000115255_REEP6	0.6334899672600939	1
ENSG00000185761_ADAMTSL5	0.6378934411048455	11
ENSG00000185988_PLK5	0.9692739062542449	8
ENSG00000181588_MEX3D	0.03649745455972564	4
ENSG00000071655_MBD3	0.1090017915638255	2
ENSG00000267059_AC005943.1	0.36822428483857284	3
ENSG00000127540_UQCR11	0.36822428483857284	3
ENSG00000071564_TCF3	0.8296049367628601	7
ENSG00000205922_ONECUT3	0.8935930256857616	3
ENSG00000130270_ATP8B3	0.07027931335811122	17
ENSG00000079313_REXO1	0.298472889623872	5
ENSG00000129911_KLF16	0.8300769584123158	1
ENSG00000129968_ABHD17A	0.4855702571741273	4
ENSG00000227500_SCAMP4	0.9127280185535209	2
ENSG00000213638_ADAT3	0.3418384299953159	4
ENSG00000133275_CSNK1G2	0.9794418524242562	5
ENSG00000133243_BTBD2	0.9090655967287276	3
ENSG00000099875_MKNK2	0.9328408917774214	13
ENSG00000172081_MOB3A	0.7558592730159728	2
ENSG00000099840_IZUMO4	0.22882845701506782	14
ENSG00000065000_AP3D1	0.4081919257919109	9
ENSG00000104885_DOT1L	0.5524361559935098	6
ENSG00000104886_PLEKHJ1	0.6750091836211463	4
ENSG00000104897_SF3A2	0.1296543253667004	1
ENSG00000104899_AMH	0.5894947872857181	11
ENSG00000167476_JSRP1	0.7235837811901362	9
ENSG00000104904_OAZ1	0.6967728290608756	5
ENSG00000273734_AC005258.1	0.2792863797577041	3
ENSG00000188305_PEAK3	0.5373120725635493	8
ENSG00000130332_LSM7	0.8823663502909537	2
ENSG00000005206_SPPL2B	0.8178874807573405	8
ENSG00000178297_TMPRSS9	0.6665245559005163	13
