gene	linb	nSNP
ENSG00000272636_DOC2B	0.034913988150142794	3
ENSG00000181031_RPH3AL	0.711791497621582	15
ENSG00000187624_C17orf97	0.03148468079631195	9
ENSG00000183688_RFLNB	0.34291473427685215	2
ENSG00000141252_VPS53	0.6312734391436339	7
ENSG00000167695_FAM57A	0.2853590627187744	3
ENSG00000179409_GEMIN4	0.2234759934307633	13
ENSG00000167699_GLOD4	0.05097840087546279	14
ENSG00000171861_MRM3	0.6020415407129978	7
ENSG00000167693_NXN	0.5191494425040603	6
ENSG00000177370_TIMM22	0.6904647707915708	4
ENSG00000159842_ABR	0.38833901152625927	12
ENSG00000184811_TRARG1	0.48418758982230325	6
ENSG00000108953_YWHAE	0.7774254406367493	2
ENSG00000167193_CRK	0.4454703837837365	1
ENSG00000197879_MYO1C	0.6557032922284869	24
ENSG00000132376_INPP5K	0.490724700688162	11
ENSG00000174238_PITPNA	0.4422044470856962	1
ENSG00000167703_SLC43A2	0.6807766924174765	8
ENSG00000074660_SCARF1	0.8016550749562378	13
ENSG00000167705_RILP	0.17712561513175795	6
ENSG00000174231_PRPF8	0.8501187845288213	9
ENSG00000185561_TLCD2	0.4397301242304388	4
ENSG00000167716_WDR81	0.6926581947417977	18
ENSG00000167711_SERPINF2	0.8236499315624983	2
ENSG00000132386_SERPINF1	0.04714048295102313	2
ENSG00000186532_SMYD4	0.8933385483387325	12
ENSG00000132383_RPA1	0.9942926696808752	10
ENSG00000108963_DPH1	0.7540886762898773	24
ENSG00000262664_OVCA2	0.6874904477765729	7
ENSG00000177374_HIC1	0.818879834290098	4
ENSG00000070366_SMG6	0.8236373062382265	9
ENSG00000167720_SRR	0.21254260216426124	7
ENSG00000167721_TSR1	0.42598484701901773	15
ENSG00000141258_SGSM2	0.716881476158385	14
ENSG00000070444_MNT	0.4182355200060708	2
ENSG00000127804_METTL16	0.24392097486564457	3
ENSG00000132361_CLUH	0.31112208859836477	14
ENSG00000132359_RAP1GAP2	0.5359251902409543	4
ENSG00000262628_OR1D5	0.6552183961139902	2
ENSG00000184166_OR1D2	0.027950177364451823	1
ENSG00000183024_OR1G1	0.7203793950562585	2
ENSG00000172150_OR1A2	0.27988880428535823	5
ENSG00000172146_OR1A1	0.29638418801664945	1
ENSG00000221882_AC087498.2	0.1658311449308758	4
ENSG00000180090_OR3A1	0.7758907574537229	4
ENSG00000180016_OR1E1	0.48256490042481837	5
ENSG00000159961_OR3A3	0.10574919369115443	9
ENSG00000127780_OR1E2	0.9472364819145906	3
ENSG00000141255_SPATA22	0.2447049810628641	9
ENSG00000108381_ASPA	0.800682513075769	1
ENSG00000167723_TRPV3	0.29184102885789487	17
ENSG00000196689_TRPV1	0.1543654205149	11
ENSG00000262304_AC027796.3	0.8115603943539089	14
ENSG00000197417_SHPK	0.8433859319378239	12
ENSG00000040531_CTNS	0.8544049082352368	6
ENSG00000213977_TAX1BP3	0.03204171958043012	1
ENSG00000257950_P2RX5-TAX1BP3	0.10294391513326162	10
ENSG00000127774_EMC6	0.01740427759730545	1
ENSG00000083454_P2RX5	0.16786142374756508	13
ENSG00000083457_ITGAE	0.488364193259205	9
ENSG00000177602_HASPIN	0.33328740200833396	5
ENSG00000074356_NCBP3	0.892151172715447	5
ENSG00000004660_CAMKK1	0.808818853789703	5
ENSG00000108405_P2RX1	0.6484097126032764	4
ENSG00000074370_ATP2A3	0.2992647080976206	16
ENSG00000074755_ZZEF1	0.7281207298864216	12
ENSG00000167740_CYB5D2	0.804172244117852	5
ENSG00000185722_ANKFY1	0.3892125559333659	4
ENSG00000182557_SPNS3	0.6593107579447363	10
ENSG00000183018_AC118754.1	0.5960229733542669	5
ENSG00000132382_MYBBP1A	0.23907664272819995	33
ENSG00000167741_GGT6	0.0138632448423337	8
ENSG00000188176_SMTNL2	0.679889047210925	8
ENSG00000161905_ALOX15	0.16917983892628508	21
ENSG00000141456_PELP1	0.4997556373199574	7
ENSG00000141480_ARRB2	0.6574734398920856	7
ENSG00000161920_MED11	0.33295477207882207	4
ENSG00000161921_CXCL16	0.45125224185731183	3
ENSG00000141497_ZMYND15	0.28492067564795787	11
ENSG00000142484_TM4SF5	0.33087838128750136	3
ENSG00000182853_VMO1	0.4490748961191383	4
ENSG00000182327_GLTPD2	0.9297746851116937	4
ENSG00000142507_PSMB6	0.5450323670375782	1
ENSG00000129219_PLD2	0.9638179978000803	21
ENSG00000141503_MINK1	0.09052872349933527	7
ENSG00000108556_CHRNE	2.0	13
ENSG00000205710_C17orf107	0.5593260700666389	6
ENSG00000185245_GP1BA	0.17738645371959794	10
ENSG00000108528_SLC25A11	0.12895764822347078	1
ENSG00000108523_RNF167	0.25916796267925823	8
ENSG00000108518_PFN1	0.36155042260803705	2
ENSG00000108515_ENO3	0.9042714733451304	11
ENSG00000091640_SPAG7	0.8797697225339255	6
ENSG00000108509_CAMTA2	0.5255224185712984	6
ENSG00000196388_INCA1	0.1714460086722005	9
ENSG00000129250_KIF1C	0.021744873010035803	6
ENSG00000132517_SLC52A1	0.9013383137507682	4
ENSG00000180787_ZFP3	0.8166383093142691	2
ENSG00000167840_ZNF232	0.5706433157878551	9
ENSG00000129204_USP6	0.3949046206833655	30
ENSG00000180626_ZNF594	0.013225691108864401	10
ENSG00000161929_SCIMP	0.7661359804960118	2
ENSG00000029725_RABEP1	0.4006760552594034	7
ENSG00000108559_NUP88	0.755176055344622	14
ENSG00000129197_RPAIN	0.9724537652442895	7
ENSG00000108561_C1QBP	0.6481687380536745	4
ENSG00000005100_DHX33	0.7875292992328259	11
ENSG00000072849_DERL2	0.5589804123397283	4
ENSG00000167842_MIS12	0.6022763841526956	3
ENSG00000091592_NLRP1	0.6317353018733471	17
ENSG00000286190_AC055839.2	0.9567529926169396	1
ENSG00000285471_AC007846.2	0.4675853561590758	2
ENSG00000179314_WSCD1	0.3023758661351771	7
ENSG00000129221_AIPL1	0.8013225404763797	6
ENSG00000129195_PIMREG	0.7736195534210104	10
ENSG00000091622_PITPNM3	0.02906491755085161	2
ENSG00000198920_KIAA0753	0.3676593832738174	22
ENSG00000129235_TXNDC17	0.723517206669556	4
ENSG00000108590_MED31	0.960518557077817	6
ENSG00000256806_C17orf100	0.2979379639617764	2
ENSG00000141485_SLC13A5	0.40662416080891295	3
ENSG00000132530_XAF1	0.11569010353422637	18
ENSG00000177294_FBXO39	0.03693517919847489	4
ENSG00000167858_TEKT1	0.5264658259776174	10
ENSG00000108839_ALOX12	0.7590947920223599	13
ENSG00000219200_RNASEK	0.9555438794937849	5
ENSG00000161939_RNASEK-C17orf49	0.17517618110411637	3
ENSG00000258315_C17orf49	0.3157089810937398	3
ENSG00000161940_BCL6B	0.3719051207113623	1
ENSG00000174327_SLC16A13	0.26179803956991154	3
ENSG00000174326_SLC16A11	0.12379991394271128	4
ENSG00000132514_CLEC10A	0.362032599749775	10
ENSG00000161944_ASGR2	0.7500780564704862	7
ENSG00000141505_ASGR1	0.28448568510075434	10
ENSG00000132535_DLG4	0.47253917131985756	2
ENSG00000072778_ACADVL	0.36688277726294094	20
ENSG00000004975_DVL2	0.49042615880355656	11
ENSG00000040633_PHF23	0.5169728673794939	4
ENSG00000170296_GABARAP	0.111244684339183	3
ENSG00000262526_AC120057.2	0.09017048335279965	1
ENSG00000175826_CTDNEP1	0.36551626006292204	3
ENSG00000170291_ELP5	0.04683760159700778	6
ENSG00000181885_CLDN7	0.2743624028995644	5
ENSG00000181856_SLC2A4	0.6277249780967469	7
ENSG00000132507_EIF5A	0.35738742181252336	3
ENSG00000132522_GPS2	0.5854780417778624	2
