gene	linb	nSNP
ENSG00000120645_IQSEC3	0.05916854728991072	11
ENSG00000111181_SLC6A12	0.002956138044549972	8
ENSG00000010379_SLC6A13	0.42013092092920823	22
ENSG00000073614_KDM5A	0.7081244759619871	5
ENSG00000120647_CCDC77	0.03353559853484944	15
ENSG00000139044_B4GALNT3	0.3906280870288632	10
ENSG00000171840_NINJ2	0.18240447156421746	4
ENSG00000060237_WNK1	0.6065228035266951	16
ENSG00000002016_RAD52	0.6563754071368655	15
ENSG00000082805_ERC1	0.05743145161512386	7
ENSG00000111186_WNT5B	0.2610456496518341	1
ENSG00000151062_CACNA2D4	0.12210120621669951	28
ENSG00000166159_LRTM2	0.8333311564735187	1
ENSG00000151065_DCP1B	0.5841691932217274	8
ENSG00000151067_CACNA1C	0.9641112350044941	13
ENSG00000004478_FKBP4	0.5799526592984574	3
ENSG00000111203_ITFG2	0.30147674070897423	10
ENSG00000053702_NRIP2	0.6924575207981225	5
ENSG00000283297_TEX52	0.2893767813262509	6
ENSG00000111206_FOXM1	0.5223603180918235	3
ENSG00000171792_RHNO1	0.18145048838406008	5
ENSG00000078246_TULP3	0.4741356349008873	16
ENSG00000197905_TEAD4	0.5578357195044221	5
ENSG00000130038_CRACR2A	0.10814514915060502	15
ENSG00000111224_PARP11	0.816854317322	5
ENSG00000118971_CCND2	0.7926266717790782	1
ENSG00000118972_FGF23	0.05769748843074329	2
ENSG00000111241_FGF6	2.0	4
ENSG00000047621_C12orf4	0.6259573879515227	8
ENSG00000111247_RAD51AP1	0.3098497617881768	9
ENSG00000010219_DYRK4	0.34224996723807855	5
ENSG00000272921_AC005832.4	0.1982017280029349	1
ENSG00000111254_AKAP3	0.5453968910410808	6
ENSG00000139180_NDUFA9	0.688546291855856	4
ENSG00000255639_AC005833.1	0.7883091002238352	15
ENSG00000130035_GALNT8	0.6219368377910892	22
ENSG00000151079_KCNA6	0.8793735781297047	4
ENSG00000111262_KCNA1	0.7180541895768637	4
ENSG00000130037_KCNA5	0.06839484695887399	1
ENSG00000185652_NTF3	0.9508609153476305	1
ENSG00000047617_ANO2	0.009134146631054607	23
ENSG00000110799_VWF	0.5283127630351306	24
ENSG00000010278_CD9	0.05442358373810974	1
ENSG00000008323_PLEKHG6	0.5225631931108222	17
ENSG00000067182_TNFRSF1A	0.3345461442408446	5
ENSG00000111319_SCNN1A	0.9208541978363372	19
ENSG00000111321_AC005840.1	0.26779744870686617	7
ENSG00000139193_CD27	0.3303233082347725	2
ENSG00000139192_TAPBPL	2.0	4
ENSG00000139190_VAMP1	0.02692270570318589	4
ENSG00000111639_MRPL51	0.05000376771084325	2
ENSG00000010292_NCAPD2	0.6256932512262823	16
ENSG00000111640_GAPDH	2.0	8
ENSG00000010295_IFFO1	0.47017310481250174	8
ENSG00000111641_NOP2	0.07500891884173289	5
ENSG00000285238_AC006064.6	0.4522549216856325	3
ENSG00000111642_CHD4	0.9812450558503776	10
ENSG00000184574_LPAR5	0.7365618598401341	3
ENSG00000111644_ACRBP	0.8430575136076499	15
ENSG00000111653_ING4	0.029201072919293414	11
ENSG00000126746_ZNF384	0.8969327175528494	4
ENSG00000111652_COPS7A	0.5094744304588728	2
ENSG00000089693_MLF2	0.9944979695127418	3
ENSG00000159335_PTMS	0.9007001692662102	1
ENSG00000089692_LAG3	0.3717394400849645	8
ENSG00000010610_CD4	0.43994350458227593	3
ENSG00000250510_GPR162	0.9533518288896725	7
ENSG00000110811_P3H3	0.661756727487624	15
ENSG00000111664_GNB3	0.26342928319994896	5
ENSG00000111665_CDCA3	0.8011448690077714	5
ENSG00000111669_TPI1	0.622755484960868	8
ENSG00000111671_SPSB2	0.7622302583459941	9
ENSG00000010626_LRRC23	0.11690306837242692	11
ENSG00000111674_ENO2	0.2288728098049343	7
ENSG00000111676_ATN1	0.7342106744266009	2
ENSG00000111678_C12orf57	0.8674733249097704	11
ENSG00000111679_PTPN6	0.9552727542328494	7
ENSG00000215021_PHB2	0.23168541493323946	4
ENSG00000126749_EMG1	0.15919413546558225	6
ENSG00000111684_LPCAT3	0.7688656216752822	4
ENSG00000182326_C1S	0.8792834009018764	14
ENSG00000139178_C1RL	0.3440154412193609	11
ENSG00000139194_RBP5	0.9256334806392599	6
ENSG00000139182_CLSTN3	0.37928244537886435	8
ENSG00000139197_PEX5	0.8069734530352107	9
ENSG00000215009_ACSM4	0.08792435503961737	15
ENSG00000177675_CD163L1	0.6876564418995822	25
ENSG00000177575_CD163	0.14424003497328997	11
ENSG00000111701_APOBEC1	0.8931156278386515	4
ENSG00000184344_GDF3	0.4172284657646682	3
ENSG00000187569_DPPA3	0.616284127612629	2
ENSG00000198178_CLEC4C	0.42448680985836473	7
ENSG00000205857_NANOGNB	0.45417618939060145	5
ENSG00000111704_NANOG	0.3929614750801783	8
ENSG00000173262_SLC2A14	0.1495169678159518	11
ENSG00000059804_SLC2A3	0.09344725844682844	6
ENSG00000065970_FOXJ2	0.8608628195712129	1
ENSG00000171860_C3AR1	0.2773304296447662	6
ENSG00000089818_NECAP1	0.8867298312535057	6
ENSG00000111729_CLEC4A	0.6912063061417941	14
ENSG00000284393_AC092111.3	0.027200566708060814	3
ENSG00000196946_ZNF705A	0.2007711362793102	7
ENSG00000171847_FAM90A1	0.09252961874770693	10
ENSG00000205846_CLEC6A	0.43980080272268474	4
ENSG00000166527_CLEC4D	0.7369830079256541	7
ENSG00000166523_CLEC4E	0.5374807677073634	5
ENSG00000111732_AICDA	0.06306263798441969	1
ENSG00000197614_MFAP5	0.3534389818307275	4
ENSG00000166532_RIMKLB	0.3231327256219998	1
ENSG00000166535_A2ML1	0.7304669794763416	33
ENSG00000111752_PHC1	0.7516998202888112	13
ENSG00000003056_M6PR	0.597006574072439	5
ENSG00000139187_KLRG1	0.14701147535993664	7
ENSG00000175899_A2M	0.9935717676288707	14
ENSG00000126838_PZP	0.4070605875386093	30
ENSG00000111796_KLRB1	0.29001027071850005	6
ENSG00000069493_CLEC2D	0.17522865743110927	4
ENSG00000184293_CLECL1	0.9736794471716712	7
ENSG00000110848_CD69	0.5583693430598801	3
ENSG00000150045_KLRF1	0.14804527647477483	8
ENSG00000110852_CLEC2B	0.3830829386723511	4
ENSG00000256797_KLRF2	0.7984872220144572	10
ENSG00000188393_CLEC2A	0.2201341597590205	5
ENSG00000172322_CLEC12A	0.24392170480282105	7
ENSG00000165682_CLEC1B	0.009964320847141828	4
ENSG00000256660_CLEC12B	0.9185268663171045	4
ENSG00000197992_CLEC9A	0.7920938783230254	4
ENSG00000150048_CLEC1A	0.22762397254813416	8
ENSG00000172243_CLEC7A	0.36753929019600884	10
ENSG00000173391_OLR1	0.8739149037786587	4
ENSG00000165685_TMEM52B	0.2594325297135276	4
ENSG00000139112_GABARAPL1	0.07066324499686494	3
ENSG00000134539_KLRD1	0.6546203045471078	3
ENSG00000213809_KLRK1	0.30527026397806967	8
ENSG00000255819_KLRC4-KLRK1	0.49273222888617707	3
ENSG00000183542_KLRC4	0.7013761861892861	2
ENSG00000205810_KLRC3	0.9139355358568537	8
ENSG00000255641_AC068775.1	0.8131026834623652	9
ENSG00000205809_KLRC2	0.2239044801080028	11
ENSG00000134545_KLRC1	0.9824972419738673	3
ENSG00000111196_MAGOHB	0.7561588346929851	3
ENSG00000060140_STYK1	0.638681405991763	7
ENSG00000060138_YBX3	0.8345481895262574	7
ENSG00000121377_TAS2R7	0.5191841167147762	3
ENSG00000121314_TAS2R8	0.85946994495874	3
ENSG00000231887_PRH1	0.8076661950595831	6
ENSG00000121318_TAS2R10	0.250811944433051	2
ENSG00000111215_PRR4	0.08391793884986964	9
ENSG00000275778_AC018630.2	0.31753944018011804	9
ENSG00000284826_AC006518.7	0.6352324377279891	5
ENSG00000212128_TAS2R13	0.23273394336595066	4
ENSG00000134551_PRH2	0.354740179830181	6
ENSG00000212127_TAS2R14	0.8738945101123234	2
ENSG00000212126_TAS2R50	0.499720643476518	5
ENSG00000255837_TAS2R20	0.6981211322889507	1
ENSG00000212124_TAS2R19	0.008722613116319944	2
ENSG00000256436_TAS2R31	0.4118722718154255	6
ENSG00000226761_TAS2R46	0.8719551886005735	8
ENSG00000255374_TAS2R43	0.336759108928832	5
ENSG00000256188_TAS2R30	0.6578525477787898	6
ENSG00000256537_SMIM10L1	0.03315704989595125	1
ENSG00000186136_TAS2R42	0.009497422747595574	2
ENSG00000197870_PRB3	0.021679249462054573	12
ENSG00000230657_PRB4	0.5033504704249306	12
ENSG00000251655_PRB1	0.62562755347385	17
ENSG00000121335_PRB2	0.21813118936797216	20
ENSG00000139083_ETV6	0.34061735452824704	2
ENSG00000121380_BCL2L14	0.1023982790435215	7
ENSG00000070018_LRP6	0.3520708326815525	8
ENSG00000111261_MANSC1	0.5065102621376103	2
ENSG00000165714_BORCS5	0.3955692710527141	3
ENSG00000183150_GPR19	0.8629185018107399	3
ENSG00000111276_CDKN1B	0.3455978683391313	2
ENSG00000178878_APOLD1	0.802592016884312	9
ENSG00000213782_DDX47	0.9104226732068161	15
ENSG00000013588_GPRC5A	0.5763568920670351	6
ENSG00000111291_GPRC5D	0.2121440609455395	9
ENSG00000013583_HEBP1	0.013943845659474152	1
ENSG00000084444_FAM234B	0.014854082999487761	3
ENSG00000111305_GSG1	0.5805677228788426	5
ENSG00000134531_EMP1	0.06945904633686806	4
ENSG00000171681_ATF7IP	0.7046307461588637	5
ENSG00000121316_PLBD1	0.20591690597693701	14
ENSG00000070019_GUCY2C	0.8265959882591399	21
ENSG00000197837_HIST4H4	0.8993058892072153	3
ENSG00000246705_H2AFJ	0.021730986805669872	2
ENSG00000084463_WBP11	0.1803273278401707	1
ENSG00000182993_C12orf60	0.26617099771381436	4
ENSG00000179256_SMCO3	0.10879342464345543	2
ENSG00000111339_ART4	0.7811233094135697	4
ENSG00000111341_MGP	0.6508643384299415	3
ENSG00000139055_ERP27	0.5379122857890372	4
ENSG00000111348_ARHGDIB	0.6073716146223047	4
ENSG00000139053_AC020613.1	0.645574840012962	2
ENSG00000134533_RERG	0.10718689293119854	6
ENSG00000151490_PTPRO	0.2688528268367829	11
ENSG00000151491_EPS8	0.6867227658548725	8
ENSG00000023734_STRAP	0.5236095080903219	6
ENSG00000023697_DERA	0.7216082181889422	8
ENSG00000188991_SLC15A5	0.0952406235459945	11
ENSG00000008394_MGST1	0.2630843563641655	4
ENSG00000048540_LMO3	0.47870310953983486	10
ENSG00000111404_RERGL	0.4567950860624653	6
ENSG00000139144_PIK3C2G	0.6572826999030497	21
ENSG00000139151_PLCZ1	0.4304147958201582	24
ENSG00000177938_CAPZA3	0.8222415637389651	2
ENSG00000052126_PLEKHA5	0.04296311923455498	5
ENSG00000139154_AEBP2	0.10753149652460214	4
ENSG00000172572_PDE3A	0.8770420826949392	4
ENSG00000139155_SLCO1C1	0.5095964877453726	16
ENSG00000111700_SLCO1B3	0.2884639580052696	17
ENSG00000257046_AC011604.2	0.8488263787605641	24
ENSG00000205754_SLCO1B7	0.8066906267414911	12
ENSG00000257062_AC022335.1	0.8097460700840196	4
ENSG00000134538_SLCO1B1	0.6331201773919448	19
ENSG00000084453_SLCO1A2	0.08736139691442046	7
ENSG00000121351_IAPP	0.5975262340113798	2
ENSG00000121350_PYROXD1	0.9199786890459805	8
ENSG00000004700_RECQL	0.6098935643067681	10
ENSG00000111711_GOLT1B	0.9641790705982154	2
ENSG00000134548_SPX	0.7035950553426902	9
ENSG00000111713_GYS2	0.10429802122084186	15
ENSG00000285854_AC010197.2	0.7898193179194013	5
ENSG00000121361_KCNJ8	0.5643098849397292	2
ENSG00000069431_ABCC9	0.4867697082244449	13
ENSG00000111726_CMAS	0.37776815269127373	3
ENSG00000111728_ST8SIA1	0.8654340799848527	3
ENSG00000111731_C2CD5	0.8835006589034855	15
