gene	linb	nSNP
ENSG00000272602_ZNF595	0.9933599756832237	7
ENSG00000186777_ZNF732	0.5699685974696782	12
ENSG00000131127_ZNF141	0.7212490679467769	4
ENSG00000182903_ZNF721	0.6393057982459136	13
ENSG00000174227_PIGG	0.6257648884731435	14
ENSG00000133256_PDE6B	0.3201144888561779	20
ENSG00000169020_ATP5ME	0.5122180245712455	1
ENSG00000215375_MYL5	0.7058162673352475	13
ENSG00000169026_SLC49A3	0.5612864192663674	17
ENSG00000185619_PCGF3	0.1769277824057518	7
ENSG00000178950_GAK	0.828563031845043	10
ENSG00000127419_TMEM175	0.05845913998099084	8
ENSG00000145214_DGKQ	0.7853273952024467	6
ENSG00000145217_SLC26A1	0.27251068481449214	9
ENSG00000127415_IDUA	0.7055322091355423	15
ENSG00000127418_FGFRL1	0.8387283284770665	5
ENSG00000178222_RNF212	0.5967539134358298	8
ENSG00000159674_SPON2	0.8668995118975606	3
ENSG00000159692_CTBP1	0.6919140849786929	1
ENSG00000090316_MAEA	0.46630996590482754	6
ENSG00000163945_UVSSA	0.6490165604113258	25
ENSG00000174137_FAM53A	0.44405418211434566	10
ENSG00000163950_SLBP	0.16350718564349376	10
ENSG00000013810_TACC3	0.688731953518573	7
ENSG00000168936_TMEM129	0.14980384437005012	11
ENSG00000068078_FGFR3	0.2166382972150498	10
ENSG00000168924_LETM1	0.8172784519889971	2
ENSG00000109685_NSD2	0.6822685918318281	5
ENSG00000185049_NELFA	0.599978305059736	4
ENSG00000130997_POLN	0.9736439628543361	31
ENSG00000214367_HAUS3	0.8953028014149222	8
ENSG00000159733_ZFYVE28	0.058230896630600326	4
ENSG00000206113_CFAP99	0.9491537520395985	22
ENSG00000063978_RNF4	0.841543512322205	1
ENSG00000168884_TNIP2	0.9144315533868717	8
ENSG00000087266_SH3BP2	0.6620992311725596	11
ENSG00000087274_ADD1	0.75789586298215	3
ENSG00000109736_MFSD10	0.4499676390782078	20
ENSG00000087269_NOP14	0.23505687593601876	16
ENSG00000125388_GRK4	0.5789134397433787	15
ENSG00000197386_HTT	0.8865089737274233	13
ENSG00000188981_MSANTD1	0.11946908938871037	5
ENSG00000159788_RGS12	0.4443725959923327	10
ENSG00000109758_HGFAC	0.8083507734422224	13
ENSG00000175920_DOK7	0.6618519250866755	10
ENSG00000163956_LRPAP1	0.7696035778169596	4
ENSG00000184160_ADRA2C	0.9711077810754551	1
ENSG00000163982_OTOP1	0.622258649443115	15
ENSG00000132406_TMEM128	0.3931940087807281	5
ENSG00000145220_LYAR	0.9609305077260243	7
ENSG00000168826_ZBTB49	0.33125828964773407	16
ENSG00000168824_NSG1	0.8962437418954714	3
ENSG00000168818_STX18	0.19477990106444398	11
ENSG00000163132_MSX1	0.9760904703465519	4
ENSG00000170891_CYTL1	0.1557588408586923	5
ENSG00000152953_STK32B	0.6608363755340225	13
ENSG00000173040_EVC2	0.5736347261119678	26
ENSG00000072840_EVC	0.8505997839981113	22
ENSG00000072832_CRMP1	0.9628755937644631	3
ENSG00000181215_C4orf50	0.378496623218773	14
ENSG00000152969_JAKMIP1	0.8263241286032034	4
ENSG00000109501_WFS1	0.45326416459582264	14
ENSG00000074211_PPP2R2C	0.47044901091876645	5
ENSG00000013288_MAN2B2	0.38761979281328574	14
ENSG00000163993_S100P	0.4906798849734465	1
