gene	linb	nSNP
ENSG00000197061_HIST1H4C	0.2167955818606424	6
ENSG00000187475_HIST1H1T	0.6323439131290312	5
ENSG00000180596_HIST1H2BC	0.7864227095297894	5
ENSG00000180573_HIST1H2AC	0.46951371338346315	3
ENSG00000168298_HIST1H1E	0.9035131592382047	1
ENSG00000158373_HIST1H2BD	0.6724240447467658	6
ENSG00000274290_HIST1H2BE	0.6108077519065692	4
ENSG00000277157_HIST1H4D	0.051585068742688645	5
ENSG00000282988_AL031777.3	0.6731764848918651	6
ENSG00000197409_HIST1H3D	0.5225883485855025	3
ENSG00000196866_HIST1H2AD	0.9584031994227741	3
ENSG00000277224_HIST1H2BF	0.1680111600153631	5
ENSG00000276966_HIST1H4E	0.9686318628157606	8
ENSG00000273802_HIST1H2BG	0.9920137364256334	2
ENSG00000277075_HIST1H2AE	0.00629322251768194	2
ENSG00000274750_HIST1H3E	0.7217013260214855	3
ENSG00000124575_HIST1H1D	0.3669515262220797	2
ENSG00000274618_HIST1H4F	0.6208508632518533	3
ENSG00000275663_HIST1H4G	0.5049921291159144	3
ENSG00000277775_HIST1H3F	0.6009664804764954	1
ENSG00000275713_HIST1H2BH	0.26965544787210005	5
ENSG00000273983_HIST1H3G	0.4874788553726216	5
ENSG00000278588_HIST1H2BI	0.9081216761409574	3
ENSG00000158406_HIST1H4H	0.7557698113182656	3
ENSG00000186470_BTN3A2	0.9513011380866893	14
ENSG00000124508_BTN2A2	0.6042715741538367	9
ENSG00000026950_BTN3A1	0.4668494092492316	8
ENSG00000111801_BTN3A3	0.6422374006764437	11
ENSG00000112763_BTN2A1	0.9626132157462337	16
ENSG00000124557_BTN1A1	0.03458650924335516	5
ENSG00000146109_ABT1	0.488953066450168	2
ENSG00000181315_ZNF322	0.36407404060155435	3
ENSG00000124635_HIST1H2BJ	0.16417193999039403	2
ENSG00000196787_HIST1H2AG	0.20572829553717376	3
ENSG00000276180_HIST1H4I	0.34971645482357605	3
ENSG00000274997_HIST1H2AH	0.7505858329382835	3
ENSG00000112812_PRSS16	0.6880598356812487	10
ENSG00000158553_POM121L2	0.37156460516384127	6
ENSG00000124613_ZNF391	0.900781191912768	5
ENSG00000096654_ZNF184	0.06948232682913047	3
ENSG00000185130_HIST1H2BL	0.4861571829206436	4
ENSG00000196747_HIST1H2AI	0.9755987431244697	2
ENSG00000278828_HIST1H3H	0.4534040759543668	2
ENSG00000276368_HIST1H2AJ	0.5448095493890108	1
ENSG00000273703_HIST1H2BM	0.4103477319563894	6
ENSG00000197238_HIST1H4J	0.027910705303278993	2
ENSG00000273542_HIST1H4K	0.05235720243033071	1
ENSG00000275221_HIST1H2AK	0.9395014002319633	4
ENSG00000276903_HIST1H2AL	0.23125300831919904	3
ENSG00000184357_HIST1H1B	0.7674711413405206	1
ENSG00000275379_HIST1H3I	0.6897473576070446	1
ENSG00000275126_HIST1H4L	0.5816488417515797	1
ENSG00000197153_HIST1H3J	0.0778060155003435	1
ENSG00000278677_HIST1H2AM	2.0	3
ENSG00000274641_HIST1H2BO	0.41515043108555105	5
ENSG00000168131_OR2B2	0.7009840211658686	3
ENSG00000124657_OR2B6	0.08464888426814643	3
ENSG00000197279_ZNF165	0.08855355763560602	8
ENSG00000196812_ZSCAN16	0.36477563290925685	5
ENSG00000198315_ZKSCAN8	0.2034808136030134	4
ENSG00000137185_ZSCAN9	0.5015875789733502	10
ENSG00000187626_ZKSCAN4	0.49198245531387363	4
ENSG00000189134_NKAPL	0.7206384709166813	3
ENSG00000197062_ZSCAN26	0.9244610795303023	6
ENSG00000276302_AL021997.3	0.44651628515282826	1
ENSG00000137338_PGBD1	0.2017163747465054	7
ENSG00000235109_ZSCAN31	0.057009881811253216	10
ENSG00000189298_ZKSCAN3	0.3331443569232816	9
ENSG00000158691_ZSCAN12	0.9689963678796857	6
ENSG00000187987_ZSCAN23	0.5545998392492086	8
ENSG00000198704_GPX6	0.0934317666467871	6
ENSG00000224586_GPX5	1.0	1
ENSG00000232040_ZBED9	0.5087493335775176	14
ENSG00000197935_ZNF311	0.8097423041613112	11
ENSG00000204704_OR2W1	0.7777245994683033	2
ENSG00000204703_OR2B3	0.4531950616869592	2
ENSG00000204701_OR2J3	0.14829018842828956	4
ENSG00000204700_OR2J2	0.263059574325317	3
ENSG00000243729_OR5V1	0.3487773764559712	2
ENSG00000112462_OR12D3	0.043068904367094984	1
ENSG00000204694_OR11A1	0.7530326783173426	2
ENSG00000206474_OR10C1	0.3597323066963857	3
ENSG00000204688_OR2H1	0.9782988871916548	4
ENSG00000204687_MAS1L	0.6856882322650754	4
ENSG00000213886_UBD	0.21370368387014238	1
ENSG00000204681_GABBR1	0.7867679867764708	4
ENSG00000204655_MOG	0.2893468581188312	3
ENSG00000204644_ZFP57	0.2975976798621188	5
ENSG00000204642_HLA-F	0.6402993476507224	11
ENSG00000204632_HLA-G	0.6166599869695467	11
ENSG00000206503_HLA-A	0.6349464421480026	14
ENSG00000204619_PPP1R11	0.6808780521277193	3
ENSG00000204618_RNF39	0.9949707519499088	7
ENSG00000204616_TRIM31	0.7543866257322456	7
ENSG00000204614_TRIM40	0.12689296311334486	7
ENSG00000204613_TRIM10	0.7462789239847748	12
ENSG00000204610_TRIM15	0.5271651100204888	8
ENSG00000234127_TRIM26	0.2640894323594415	2
ENSG00000204599_TRIM39	0.6881112236265116	2
ENSG00000248167_TRIM39-RPP21	0.1966577093130366	5
ENSG00000241370_RPP21	0.28396533375819144	8
ENSG00000204592_HLA-E	0.6614766629838322	4
ENSG00000204590_GNL1	0.05105094202996485	6
ENSG00000204576_PRR3	0.5359192693635848	1
ENSG00000204574_ABCF1	0.6841982870788429	13
ENSG00000204568_MRPS18B	0.6101116569810244	5
ENSG00000137343_ATAT1	0.357542227780804	6
ENSG00000204564_C6orf136	0.9499859278107389	3
ENSG00000204560_DHX16	0.26452802358858984	17
ENSG00000146112_PPP1R18	0.6169382253939003	2
ENSG00000137404_NRM	0.8939155928397399	5
ENSG00000137337_MDC1	0.21796796249772799	7
ENSG00000137312_FLOT1	0.6711530259233047	6
ENSG00000137331_IER3	0.7147172245513531	1
ENSG00000204580_DDR1	0.6710130673588592	12
ENSG00000213780_GTF2H4	0.27778340225968623	7
ENSG00000137411_VARS2	0.8459157240885014	29
ENSG00000196260_SFTA2	0.00024063476620073132	1
ENSG00000168631_MUCL3	0.5529767911070265	6
ENSG00000204544_MUC21	0.1900235055844247	1
ENSG00000261272_MUC22	0.8321224824603226	5
ENSG00000204542_C6orf15	0.5253853611063956	4
ENSG00000204540_PSORS1C1	0.3607302797589935	2
ENSG00000204539_CDSN	0.8894755839085288	3
ENSG00000204538_PSORS1C2	0.9455690595563019	2
ENSG00000204536_CCHCR1	0.7402986083057272	10
ENSG00000137310_TCF19	0.9318113268318884	6
ENSG00000204531_POU5F1	0.06042334595928023	1
ENSG00000204525_HLA-C	0.300334188849847	10
ENSG00000234745_HLA-B	0.07519674057945891	4
ENSG00000204520_MICA	0.7220746858215057	5
ENSG00000204516_MICB	0.9446164712510632	6
ENSG00000204511_MCCD1	0.25304689023857474	4
ENSG00000254870_ATP6V1G2-DDX39B	0.8973841450957598	2
ENSG00000213760_ATP6V1G2	0.5691677104055974	4
ENSG00000204498_NFKBIL1	0.3413856081548634	4
ENSG00000227507_LTB	0.6464633601212622	3
ENSG00000204482_LST1	0.02885801603687954	1
ENSG00000204475_NCR3	0.35232019632685907	5
ENSG00000204472_AIF1	0.057783697043028326	3
ENSG00000204469_PRRC2A	0.8479735968531565	8
ENSG00000204463_BAG6	0.4930926041039019	2
ENSG00000204444_APOM	0.0579170000106255	3
ENSG00000204439_C6orf47	0.1432530580888064	4
