gene	linb	nSNP
ENSG00000177706_FAM20C	0.34255288782502746	7
ENSG00000248767_AC187653.1	0.8717786138648556	1
ENSG00000164818_DNAAF5	0.6438724565206702	11
ENSG00000164828_SUN1	0.11481932053489319	7
ENSG00000239857_GET4	0.32987923007409425	6
ENSG00000105963_ADAP1	0.21789979329655873	5
ENSG00000240230_COX19	0.39630440654182386	4
ENSG00000073067_CYP2W1	0.04659621977662076	5
ENSG00000146540_C7orf50	0.9690364892894855	5
ENSG00000164850_GPER1	0.5475943569897375	4
ENSG00000178381_ZFAND2A	0.07570464180565573	2
ENSG00000164853_UNCX	0.7502573258317622	4
ENSG00000164877_MICALL2	0.7215358128498821	20
ENSG00000164880_INTS1	0.41401840159895464	17
ENSG00000164855_TMEM184A	0.9450375512446356	14
ENSG00000157778_PSMG3	0.6776237338380758	2
ENSG00000225968_ELFN1	0.22586987446853446	5
ENSG00000002822_MAD1L1	0.45018881272956546	16
ENSG00000286192_AC069288.1	0.918458607141444	8
ENSG00000122687_MRM2	0.8513611091059174	7
ENSG00000106268_NUDT1	0.18271020320452136	6
ENSG00000106266_SNX8	0.010104530734919237	5
ENSG00000136213_CHST12	0.48610150023034926	1
ENSG00000275572_GRIFIN	0.9814736101864405	4
ENSG00000106003_LFNG	0.1197653161303982	7
ENSG00000106009_BRAT1	0.6253125619719455	17
ENSG00000106012_IQCE	0.7840389504170979	25
ENSG00000136295_TTYH3	0.2573615056267001	3
ENSG00000174945_AMZ1	0.30194833488008976	16
ENSG00000146535_GNA12	0.5837766252986498	3
ENSG00000198286_CARD11	0.09229050966174435	2
ENSG00000146555_SDK1	0.6901682105917717	20
ENSG00000164916_FOXK1	0.5689312124265256	2
ENSG00000242802_AP5Z1	0.34104597612736487	27
ENSG00000157927_RADIL	0.2272645385229033	15
ENSG00000218823_PAPOLB	0.7204487777226357	1
ENSG00000136297_MMD2	0.7993421445206408	6
ENSG00000272968_RBAK-RBAKDN	0.803321044861973	4
ENSG00000146587_RBAK	0.9331991084824074	3
ENSG00000157954_WIPI2	0.7361077236486231	3
ENSG00000164638_SLC29A4	0.25317661649856515	13
ENSG00000182095_TNRC18	0.19542261841808273	8
ENSG00000155034_FBXL18	0.531562240123623	12
ENSG00000075624_ACTB	0.882286148808155	1
ENSG00000075618_FSCN1	0.6486670436902054	2
ENSG00000011275_RNF216	0.8401652474019397	8
ENSG00000122543_OCM	0.3881011849773992	6
ENSG00000122674_CCZ1	0.6707693921465944	9
ENSG00000155026_RSPH10B	0.6196484752592458	11
ENSG00000122512_PMS2	0.4913712509298356	16
ENSG00000106305_AIMP2	0.038789406488894174	3
ENSG00000086232_EIF2AK1	0.5664196067101843	18
ENSG00000157999_ANKRD61	0.031944692406743025	4
ENSG00000106346_USP42	0.25272225527635617	3
ENSG00000008256_CYTH3	0.8461084360984538	6
ENSG00000178397_FAM220A	0.5380829000342209	5
ENSG00000286075_AC009412.1	0.5380829000342209	5
ENSG00000136238_RAC1	0.35044200060827624	1
ENSG00000164535_DAGLB	0.8281662097435079	14
ENSG00000136240_KDELR2	0.28974230240866217	3
ENSG00000215045_GRID2IP	0.49179102943573993	6
ENSG00000136247_ZDHHC4	0.04475776180177582	6
ENSG00000146576_C7orf26	0.9729206700999754	4
ENSG00000236609_ZNF853	0.3349216294976618	7
ENSG00000164631_ZNF12	0.33743008229760785	3
ENSG00000169402_RSPH10B2	0.10445996834047944	8
ENSG00000146574_CCZ1B	0.09693086779164373	12
ENSG00000106392_C1GALT1	0.754839437606936	2
ENSG00000215018_COL28A1	0.6821030722304309	27
ENSG00000164654_MIOS	0.8576106163599814	5
ENSG00000106399_RPA3	0.3809827450341329	4
ENSG00000106415_GLCCI1	0.8235629183010995	3
ENSG00000003147_ICA1	0.7249858758280412	10
ENSG00000122584_NXPH1	0.21350840361074552	1
ENSG00000189043_NDUFA4	0.39287676221925016	5
ENSG00000106443_PHF14	0.08402609844784126	8
ENSG00000005108_THSD7A	0.4945558457387319	9
ENSG00000106460_TMEM106B	0.21688536271319847	4
ENSG00000146530_VWDE	0.6422785403933751	38
ENSG00000006747_SCIN	0.06648732951587233	15
ENSG00000122644_ARL4A	0.6156577260571753	3
ENSG00000006468_ETV1	0.7384242002378328	2
ENSG00000136267_DGKB	0.9883106742574936	7
ENSG00000187546_AGMO	0.7442648357159019	19
ENSG00000214960_CRPPA	0.8529899523177172	7
ENSG00000171243_SOSTDC1	0.07982878156395024	3
ENSG00000205858_LRRC72	0.5487733100182188	11
ENSG00000106524_ANKMY2	0.857260548553758	5
ENSG00000136261_BZW2	0.6047985904872932	4
ENSG00000106537_TSPAN13	0.7846136705398437	2
ENSG00000106541_AGR2	0.003505115068076714	7
ENSG00000173467_AGR3	0.053618818615031816	9
ENSG00000106546_AHR	0.9821578888583817	5
ENSG00000283321_AC019117.3	0.9821578888583817	5
ENSG00000071189_SNX13	0.8735256916554508	5
ENSG00000229937_PRPS1L1	0.07912086417331554	4
ENSG00000048052_HDAC9	0.9661651115658474	6
ENSG00000146618_FERD3L	0.9791167456969638	1
ENSG00000105849_TWISTNB	0.4811888202055248	3
ENSG00000173452_TMEM196	0.43014613282397984	3
ENSG00000183742_MACC1	0.9521728200277192	10
ENSG00000105855_ITGB8	0.4663231287987356	3
ENSG00000004846_ABCB5	0.39447186199922224	30
ENSG00000164651_SP8	0.9925426202952465	3
ENSG00000105866_SP4	0.3368409555816292	1
ENSG00000105877_DNAH11	0.4452209909890269	63
ENSG00000164649_CDCA7L	0.3816361376045634	7
ENSG00000136237_RAPGEF5	0.0995430261010839	16
ENSG00000105889_STEAP1B	0.8413003200570447	9
ENSG00000136244_IL6	0.5232578291881586	4
ENSG00000196683_TOMM7	0.43455748250449555	5
ENSG00000122591_FAM126A	0.7291144092953086	7
ENSG00000122550_KLHL7	0.8508364045239533	10
ENSG00000136243_NUPL2	0.8235882635377622	9
ENSG00000136235_GPNMB	0.6870180521827323	21
ENSG00000156928_MALSU1	0.13336616140930113	5
ENSG00000136231_IGF2BP3	0.5510866658834338	1
ENSG00000164548_TRA2A	0.568544766398577	5
ENSG00000169193_CCDC126	0.25689443399277134	1
ENSG00000188732_FAM221A	0.956249241203122	9
ENSG00000196335_STK31	0.45682310460138376	9
ENSG00000122585_NPY	0.08367124220945943	4
ENSG00000105926_MPP6	0.8292915348582491	4
ENSG00000105928_GSDME	0.1413274171063239	9
ENSG00000070882_OSBPL3	0.6299273360370847	11
ENSG00000153790_C7orf31	0.6046786415533609	16
ENSG00000105954_NPVF	0.8272909635918847	3
ENSG00000050344_NFE2L3	0.6789617862888513	8
ENSG00000122565_CBX3	0.7449930953783602	7
ENSG00000086300_SNX10	0.12557670688297506	8
ENSG00000005020_SKAP2	0.9868231648654434	4
ENSG00000105991_HOXA1	0.21302724687163632	1
ENSG00000197576_HOXA4	0.17287556299575435	1
ENSG00000106004_HOXA5	0.43988701286262555	1
ENSG00000106006_HOXA6	0.4644989340537212	2
ENSG00000122592_HOXA7	0.6703280565352969	4
ENSG00000078399_HOXA9	0.09218426673195368	2
ENSG00000257184_AC004080.3	0.25838931855430514	1
ENSG00000253293_HOXA10	0.02281935397894641	6
ENSG00000005073_HOXA11	0.19135487621626268	2
ENSG00000106038_EVX1	0.2488520681022235	1
ENSG00000106049_HIBADH	0.6467809734336277	2
ENSG00000106052_TAX1BP1	0.40931976783970225	11
ENSG00000153814_JAZF1	0.40291052355225776	2
ENSG00000146592_CREB5	0.7125684001563899	2
ENSG00000255690_TRIL	0.16231152250657033	3
ENSG00000106066_CPVL	0.5063313813650061	8
ENSG00000285162_AC004593.3	0.3364866732804047	5
ENSG00000106069_CHN2	0.5879498999983456	6
ENSG00000176532_PRR15	0.8507095269436804	3
ENSG00000122574_WIPF3	2.0	3
ENSG00000136193_SCRN1	0.5436428561768251	2
ENSG00000106080_FKBP14	0.7061543811372687	3
ENSG00000106086_PLEKHA8	0.8231305725336386	11
ENSG00000180233_ZNRF2	0.7381369404557565	2
ENSG00000281593_AC006978.2	0.6009827972977457	1
ENSG00000106100_NOD1	0.030930238262589116	13
ENSG00000006625_GGCT	0.7866182414283742	7
ENSG00000281039_AC005154.5	0.8427279743699934	3
ENSG00000106105_GARS	0.7626971184634759	4
ENSG00000106113_CRHR2	0.3777372185829757	18
ENSG00000241644_INMT	0.08544943144840311	7
ENSG00000254959_INMT-MINDY4	0.11473572263408272	11
ENSG00000106125_MINDY4	0.29125978875014025	16
ENSG00000250424_AC004691.2	0.06709805421513537	9
ENSG00000240583_AQP1	0.026538867621563322	8
ENSG00000106128_GHRHR	0.13294492156765292	13
ENSG00000078549_ADCYAP1R1	0.5763423884706765	2
ENSG00000180347_ITPRID1	0.5447944674634824	20
ENSG00000106341_PPP1R17	0.6175310260182396	2
ENSG00000154678_PDE1C	0.07414023566530403	14
ENSG00000106355_LSM5	0.12592510568075865	3
ENSG00000105778_AVL9	0.7148746960164528	5
ENSG00000170852_KBTBD2	0.7446074786609073	3
