gene	linb	nSNP
ENSG00000161980_POLR3K	0.32205526906364157	1
ENSG00000161981_SNRNP25	0.39977324940304104	4
ENSG00000007384_RHBDF1	0.8151620855916671	15
ENSG00000103152_MPG	0.25002405792089566	12
ENSG00000103148_NPRL3	0.26011402165682584	2
ENSG00000130656_HBZ	1.0	2
ENSG00000206177_HBM	0.021615660808797843	3
ENSG00000188536_HBA2	0.7817412379176134	5
ENSG00000086506_HBQ1	0.09306207061212002	3
ENSG00000007392_LUC7L	0.5178228728387861	8
ENSG00000167930_FAM234A	0.320845764256236	11
ENSG00000076344_RGS11	0.7687212284218492	26
ENSG00000242173_ARHGDIG	0.6737499440692873	1
ENSG00000185615_PDIA2	0.4421387792957183	23
ENSG00000103126_AXIN1	0.4603266442522388	10
ENSG00000086504_MRPL28	0.6489301100046678	13
ENSG00000129925_TMEM8A	0.11009397618305283	16
ENSG00000103202_NME4	0.29921630733918914	11
ENSG00000242612_DECR2	0.3542043582847936	8
ENSG00000090565_RAB11FIP3	0.6536584460394023	5
ENSG00000103326_CAPN15	0.9834534457490347	13
ENSG00000161992_PRR35	0.08957961412865745	7
ENSG00000007541_PIGQ	0.71372041409379	27
ENSG00000257108_NHLRC4	0.5712851517464691	2
ENSG00000197562_RAB40C	0.651338486323364	6
ENSG00000127578_WFIKKN1	0.9102890574896844	4
ENSG00000130731_METTL26	0.0009688801569611716	18
ENSG00000172366_MCRIP2	0.08386397116651512	3
ENSG00000161996_WDR90	0.27681502615392894	46
ENSG00000140983_RHOT2	0.39898778456495	18
ENSG00000103269_RHBDL1	0.5640363227291763	1
ENSG00000103266_STUB1	0.39523865339345077	7
ENSG00000161999_JMJD8	0.6509136464726081	14
ENSG00000127580_WDR24	0.9719594977929137	6
ENSG00000103260_METRN	0.6328476346236174	9
ENSG00000103254_FAM173A	0.4905654608607174	11
ENSG00000162004_CCDC78	0.005914674309467793	19
ENSG00000103253_HAGHL	0.14502000240130375	5
ENSG00000103245_CIAO3	0.4572633252786058	10
ENSG00000102854_MSLN	0.147246967287732	16
ENSG00000007376_RPUSD1	0.2243287821838802	10
ENSG00000127586_CHTF18	0.522777753865802	41
ENSG00000127588_GNG13	0.6107707744799442	5
ENSG00000103227_LMF1	0.5407554070555427	18
ENSG00000005513_SOX8	0.7186806472773399	2
ENSG00000162009_SSTR5	0.9744819752644609	2
ENSG00000184471_C1QTNF8	0.4074153292581627	9
ENSG00000196557_CACNA1H	0.7918332653131585	28
ENSG00000116176_TPSG1	0.20883768307961414	9
ENSG00000197253_TPSB2	0.5225332450958375	14
ENSG00000172236_TPSAB1	0.9498381857811464	18
ENSG00000095917_TPSD1	0.0887335161429128	11
ENSG00000007516_BAIAP3	0.15978955632594638	26
ENSG00000007520_TSR3	0.22270944946906235	8
ENSG00000090581_GNPTG	0.36527942067881813	10
ENSG00000059145_UNKL	0.7507297439874091	11
ENSG00000174109_C16orf91	0.3938956953346562	4
ENSG00000197599_CCDC154	0.11161848739122149	22
ENSG00000103249_CLCN7	0.358200374576493	10
ENSG00000251692_PTX4	0.09023533356996061	9
ENSG00000100726_TELO2	0.6980441292104131	9
ENSG00000187535_IFT140	0.10214358259304945	30
ENSG00000131634_TMEM204	0.7912444172663237	3
ENSG00000007545_CRAMP1	0.6519041226220483	5
ENSG00000261732_AL031708.1	0.021606415289172398	2
ENSG00000206053_JPT2	0.4939995578053463	7
ENSG00000138834_MAPK8IP3	0.5047683487414976	5
ENSG00000103024_NME3	0.37160438088552994	8
ENSG00000074071_MRPS34	0.31645869488725764	3
ENSG00000197774_EME2	0.51183341396708	11
ENSG00000162032_SPSB3	0.7929212276814916	2
ENSG00000095906_NUBP2	0.5271364534624514	16
ENSG00000099769_IGFALS	0.058636603188885084	4
ENSG00000063854_HAGH	0.5280351472322622	9
ENSG00000180185_FAHD1	0.9077865656180824	7
ENSG00000162039_MEIOB	0.8392489415190711	11
ENSG00000162040_HS3ST6	0.2046639493439879	5
ENSG00000198736_MSRB1	0.8134555559435775	11
ENSG00000140986_RPL3L	0.5832431839376163	13
ENSG00000140990_NDUFB10	0.13321933769260808	6
ENSG00000140988_RPS2	0.4295789366805952	3
ENSG00000179580_RNF151	0.7247776942912663	5
ENSG00000183751_TBL3	0.1365642344752237	8
ENSG00000196408_NOXO1	0.3119068234993525	8
ENSG00000127554_GFER	0.6468548836006346	7
ENSG00000127561_SYNGR3	0.5750524981936687	6
ENSG00000167962_ZNF598	0.5462340557757828	5
ENSG00000183971_NPW	0.8329977603560745	3
ENSG00000065054_SLC9A3R2	0.4349295773196793	5
ENSG00000065057_NTHL1	0.7582182666873996	7
ENSG00000103197_TSC2	0.6473166773278275	10
ENSG00000008710_PKD1	0.0649989765311807	26
ENSG00000167964_RAB26	0.7685662992534171	6
ENSG00000131653_TRAF7	0.7044339453643129	6
ENSG00000167971_CASKIN1	0.8310405928112236	2
ENSG00000167965_MLST8	0.9463157500877913	9
ENSG00000182685_BRICD5	0.21832615694843782	12
ENSG00000167967_E4F1	0.6060349407356453	9
ENSG00000167968_DNASE1L2	0.5823211924536265	10
ENSG00000167969_ECI1	0.24193049074795825	10
ENSG00000205937_RNPS1	0.9339353227935467	6
ENSG00000167972_ABCA3	0.3886890547751971	6
ENSG00000162063_CCNF	0.6364993453791554	6
ENSG00000162062_TEDC2	0.7934126331559817	22
ENSG00000162068_NTN3	0.7459346374457861	4
ENSG00000162065_TBC1D24	0.061552713111970636	5
ENSG00000260272_AC093525.2	0.6794683952087966	4
ENSG00000259784_AC093525.1	0.43713315123731655	1
ENSG00000162066_AMDHD2	0.9586736126040469	6
ENSG00000205923_CEMP1	0.5880517767907412	6
ENSG00000140992_PDPK1	0.8946993691254577	5
ENSG00000167977_KCTD5	0.4143925794190464	6
ENSG00000172382_PRSS27	0.5272210962827741	3
ENSG00000167978_SRRM2	0.8096406430387976	4
ENSG00000103363_ELOB	0.9295848549123711	2
ENSG00000103355_PRSS33	0.11465044437910488	8
ENSG00000215148_PRSS41	0.30728435559576384	8
ENSG00000007038_PRSS21	0.8024502642432755	13
ENSG00000162078_ZG16B	0.24924238543166222	2
ENSG00000005001_PRSS22	0.17859914127023202	4
ENSG00000059122_FLYWCH1	0.28446073089865165	16
ENSG00000131650_KREMEN2	0.9726852778599706	4
ENSG00000127564_PKMYT1	0.1861506873308666	11
ENSG00000162073_PAQR4	0.5636971599208979	8
ENSG00000213937_CLDN9	0.7043442318349676	1
ENSG00000184697_CLDN6	0.6701265684188402	5
ENSG00000006327_TNFRSF12A	0.26138892467373864	2
ENSG00000103145_HCFC1R1	0.3678254485462482	1
ENSG00000131652_THOC6	0.5038667779797898	7
ENSG00000162069_BICDL2	0.5066723957108399	11
ENSG00000008516_MMP25	0.9520064080063761	11
ENSG00000008517_IL32	0.8214440208839954	16
ENSG00000130182_ZSCAN10	0.6839036964707634	8
ENSG00000122386_ZNF205	0.922796610693266	3
ENSG00000085644_ZNF213	0.9792687522903459	6
ENSG00000168124_OR1F1	0.5684391402197352	5
ENSG00000010539_ZNF200	0.5950029253374934	8
ENSG00000103313_MEFV	0.459250590737308	10
ENSG00000006194_ZNF263	0.9691301444076663	5
ENSG00000140993_TIGD7	0.9361393031836487	10
ENSG00000162086_ZNF75A	0.06788545673308999	9
ENSG00000168158_OR2C1	0.20683336894906912	3
ENSG00000140987_ZSCAN32	0.7269407907830974	18
ENSG00000262621_AC025283.2	0.4757194685063949	5
ENSG00000103343_ZNF174	0.6529812455709395	9
ENSG00000167981_ZNF597	0.04185291147484227	1
ENSG00000122390_NAA60	0.7323626973636281	3
ENSG00000215131_C16orf90	0.22950882791356797	5
ENSG00000103351_CLUAP1	0.4444433227282356	10
ENSG00000167984_NLRC3	0.41903526244947376	15
ENSG00000188827_SLX4	0.8810504665941217	13
ENSG00000213918_DNASE1	0.6223175684429937	8
ENSG00000126602_TRAP1	0.048840932832512785	22
ENSG00000162104_ADCY9	0.9173364311568304	10
ENSG00000185739_SRL	0.7614706394666586	2
ENSG00000090447_TFAP4	0.7553967462627729	6
ENSG00000126603_GLIS2	0.358387001683683	2
ENSG00000217930_PAM16	0.7063371594546178	8
ENSG00000103426_CORO7-PAM16	0.11292197470996834	25
ENSG00000262246_CORO7	0.05418525944226715	28
ENSG00000168140_VASN	0.762177103225832	2
ENSG00000103423_DNAJA3	0.09435025704333344	7
ENSG00000153406_NMRAL1	0.7676445290195835	8
ENSG00000103415_HMOX2	0.2673651952075815	5
ENSG00000089486_CDIP1	0.41720815351896634	2
ENSG00000205832_C16orf96	0.7521598387435519	26
ENSG00000153443_UBALD1	0.5095474036971065	1
ENSG00000102858_MGRN1	0.11555982671684562	9
ENSG00000168101_NUDT16L1	0.9182815492023724	3
ENSG00000168096_ANKS3	0.4454906059749635	10
ENSG00000166246_C16orf71	0.8690276925224543	21
ENSG00000103199_ZNF500	0.6275288296707888	10
ENSG00000140623_SEPT12	0.7642842475941699	10
ENSG00000267795_SMIM22	0.5043760520463854	6
ENSG00000067836_ROGDI	0.7422059873949693	12
ENSG00000140632_GLYR1	0.9669798703326551	9
ENSG00000118900_UBN1	0.6818040323972688	2
ENSG00000118898_PPL	0.620433707228824	25
ENSG00000103184_SEC14L5	0.5247413945974034	16
ENSG00000103174_NAGPA	0.5919800588411337	9
ENSG00000033011_ALG1	0.014109154454306605	14
ENSG00000153446_C16orf89	0.35681582516533805	15
ENSG00000118894_EEF2KMT	0.851994552124071	21
ENSG00000078328_RBFOX1	0.24159982864438045	15
ENSG00000232258_TMEM114	0.8834809094023577	3
ENSG00000067365_METTL22	0.2710914256013033	16
ENSG00000183044_ABAT	0.1396786973337516	14
ENSG00000184857_TMEM186	0.8145668746069332	5
ENSG00000140650_PMM2	0.18997925385106873	14
ENSG00000153048_CARHSP1	0.5140842464770616	10
ENSG00000187555_USP7	0.6296534551311221	3
ENSG00000182831_C16orf72	0.5900765448527042	1
ENSG00000183454_GRIN2A	0.25635240775389345	3
ENSG00000166669_ATF7IP2	0.9876125511227161	5
ENSG00000213853_EMP2	0.7372788095559697	4
ENSG00000153060_TEKT5	0.03824620685388702	6
ENSG00000103274_NUBP1	0.9556202915761448	7
ENSG00000166676_TVP23A	0.951808472517959	8
ENSG00000179583_CIITA	0.8986007807101175	16
ENSG00000182108_DEXI	0.25524516814119247	3
ENSG00000038532_CLEC16A	0.22436876692860774	7
ENSG00000175643_RMI2	0.8676653801827745	4
ENSG00000185338_SOCS1	0.24390757377471495	1
ENSG00000178279_TNP2	0.7243746161577753	3
ENSG00000122304_PRM2	0.9363511306022358	4
ENSG00000175646_PRM1	0.4410702934351045	1
ENSG00000188897_AC099489.1	0.6326322102490501	23
ENSG00000189067_LITAF	0.8202999998496483	5
ENSG00000153066_TXNDC11	0.08991667748521315	14
ENSG00000122299_ZC3H7A	0.0777156016155589	5
ENSG00000171490_RSL1D1	0.9488851526232878	10
ENSG00000103342_GSPT1	0.4698793537182241	2
ENSG00000048462_TNFRSF17	0.09300310862310202	3
ENSG00000048471_SNX29	0.401011802538515	14
ENSG00000103381_CPPED1	0.25765291544392	7
ENSG00000237515_SHISA9	0.16812637254598384	2
ENSG00000175595_ERCC4	0.41554657445533216	9
ENSG00000186260_MRTFB	0.7732544737310094	5
ENSG00000140694_PARN	0.367043497926282	12
ENSG00000103429_BFAR	0.5317807744534752	10
ENSG00000103512_NOMO1	0.05933052138349304	26
ENSG00000183426_NPIPA1	0.8307830740791136	5
ENSG00000179889_PDXDC1	0.35915043483841624	16
ENSG00000157045_NTAN1	0.1134012264985107	4
ENSG00000085721_RRN3	0.5516522769108532	9
ENSG00000183793_NPIPA5	0.3346886510392455	16
ENSG00000156968_MPV17L	0.044529007184145764	6
ENSG00000261130_AC140504.1	0.4462384658892582	3
ENSG00000166780_BMERB1	0.06370539672340314	6
ENSG00000166783_MARF1	0.4737690543991038	6
ENSG00000072864_NDE1	0.9570713412028895	8
ENSG00000133392_MYH11	0.6405268953338045	10
ENSG00000133393_FOPNL	0.510545964911534	6
ENSG00000103222_ABCC1	0.8893094920468123	13
ENSG00000091262_ABCC6	0.8331385589693199	24
ENSG00000103226_NOMO3	0.5218996694028635	19
ENSG00000214967_NPIPA7	0.2688839787018136	4
ENSG00000103489_XYLT1	0.4505304717045129	4
ENSG00000214940_NPIPA8	0.02450239653008479	5
ENSG00000185164_NOMO2	0.009211368721139923	10
ENSG00000134419_RPS15A	0.3610469131577695	2
ENSG00000260342_AC138811.2	0.40344975603434663	2
ENSG00000170540_ARL6IP1	0.40344975603434663	2
ENSG00000157106_SMG1	0.1410804953753807	9
ENSG00000170537_TMC7	0.7857130868534422	9
ENSG00000167186_COQ7	0.25621102469539836	12
ENSG00000205730_ITPRIPL2	0.055695039342246844	2
ENSG00000103528_SYT17	0.5072198382703295	4
ENSG00000261210_CLEC19A	0.4915341926338018	6
ENSG00000103534_TMC5	0.4624544583786361	18
ENSG00000006007_GDE1	0.2874599230571633	9
ENSG00000103540_CCP110	0.3743054515303208	6
ENSG00000103544_VPS35L	0.9866522883747215	16
ENSG00000103550_KNOP1	0.4604345574117399	4
ENSG00000174628_IQCK	0.6913151202023828	10
ENSG00000167191_GPRC5B	0.017671725519468162	5
ENSG00000180269_GPR139	0.3050898550795226	2
ENSG00000169347_GP2	0.3070892322986638	11
ENSG00000169344_UMOD	0.8849432309461217	18
ENSG00000169340_PDILT	0.4292938256660781	11
ENSG00000183549_ACSM5	0.23498930196338064	15
ENSG00000183747_ACSM2A	0.8281263850377386	20
ENSG00000066813_ACSM2B	0.835850208078097	16
ENSG00000005187_ACSM3	0.40697814956640954	11
ENSG00000166743_ACSM1	0.2753842189520276	15
ENSG00000066654_THUMPD1	0.7339438430179077	4
ENSG00000196678_ERI2	0.5939015892103198	12
ENSG00000005189_REXO5	0.8026474287385864	9
ENSG00000102897_LYRM1	0.8795531277333549	7
ENSG00000158486_DNAH3	0.8579131578608836	73
ENSG00000011638_TMEM159	0.02929891190517364	4
ENSG00000103310_ZP2	0.3433549997947779	8
ENSG00000175311_ANKS4B	0.7276469820464361	2
ENSG00000103316_CRYM	0.19263815453804178	8
ENSG00000169246_NPIPB3	0.4652828850766484	2
ENSG00000197006_METTL9	0.7681735841468906	9
ENSG00000140749_IGSF6	0.8853673336833079	3
ENSG00000155719_OTOA	0.09300697728939633	15
ENSG00000185864_NPIPB4	0.9621373944654961	13
ENSG00000140740_UQCRC2	0.7460779951504748	10
ENSG00000155714_PDZD9	0.5686027025867515	4
ENSG00000185716_MOSMO	0.5913799021551821	5
ENSG00000175267_VWA3A	0.17897108410835072	22
ENSG00000103319_EEF2K	0.9390939706729793	13
